,step,n_samples,jitter,eps,min_pts,DBSCAN
417,7,1000,0.15,0.30000000000000004,33,0.7828916186104544
418,8,1000,0.15,0.30000000000000004,33,0.7359488227461385
419,9,1000,0.15,0.30000000000000004,33,0.7673162402438465
420,0,1000,0.15,0.30000000000000004,29,0.7791090747274803
421,1,1000,0.15,0.30000000000000004,29,0.778565605398915
422,2,1000,0.15,0.30000000000000004,29,0.8005095391231802
423,3,1000,0.15,0.30000000000000004,29,0.8172446351249925
424,4,1000,0.15,0.30000000000000004,29,0.8208638752739225
425,5,1000,0.15,0.30000000000000004,29,0.7797136931966556
426,6,1000,0.15,0.30000000000000004,29,0.8230709728971689
427,7,1000,0.15,0.30000000000000004,29,0.8210354964768249
428,8,1000,0.15,0.30000000000000004,29,0.760742191058767
429,9,1000,0.15,0.30000000000000004,29,0.8126561573653263
430,0,1000,0.15,0.4,20,0.0
431,1,1000,0.15,0.4,20,-0.0013392348928535655
432,2,1000,0.15,0.4,20,7.672985006701068e-15
433,3,1000,0.15,0.4,20,-0.0019639383428045358
434,4,1000,0.15,0.4,20,7.672985006701068e-15
435,5,1000,0.15,0.4,20,0.001967874090988233
436,6,1000,0.15,0.4,20,0.001967874090988233
437,7,1000,0.15,0.4,20,-0.0019639383428045358
438,8,1000,0.15,0.4,20,-0.0006043380522997003
439,9,1000,0.15,0.4,20,0.0
440,0,1000,0.15,0.2,27,0.2364765225891854
441,1,1000,0.15,0.2,27,0.19145860495668804
442,2,1000,0.15,0.2,27,0.24770114275995192
443,3,1000,0.15,0.2,27,0.2614289893003489
444,4,1000,0.15,0.2,27,0.2580066285302723
445,5,1000,0.15,0.2,27,0.14644683900193584
446,6,1000,0.15,0.2,27,0.2448813983416507
447,7,1000,0.15,0.2,27,0.2007092091721269
448,8,1000,0.15,0.2,27,0.2122974303200205
449,9,1000,0.15,0.2,27,0.1977240416205933
450,0,1000,0.15,0.1,8,0.20742905011188387
451,1,1000,0.15,0.1,8,0.19114112255605153
452,2,1000,0.15,0.1,8,0.21113623018477695
453,3,1000,0.15,0.1,8,0.20789605888408938
454,4,1000,0.15,0.1,8,0.2215892919508955
455,5,1000,0.15,0.1,8,0.18849108114411567
456,6,1000,0.15,0.1,8,0.20802380012952715
457,7,1000,0.15,0.1,8,0.20086373605489985
458,8,1000,0.15,0.1,8,0.19813648638408451
459,9,1000,0.15,0.1,8,0.19197454933097252
460,0,1000,0.15,0.4,39,-0.0007748282749722725
461,1,1000,0.15,0.4,39,0.8187921584147074
462,2,1000,0.15,0.4,39,0.8448000609482103
463,3,1000,0.15,0.4,39,0.8586360659009967
464,4,1000,0.15,0.4,39,0.8262162704579296
465,5,1000,0.15,0.4,39,0.0004323514954606116
466,6,1000,0.15,0.4,39,0.843144597318212
467,7,1000,0.15,0.4,39,-0.001464422149993974
468,8,1000,0.15,0.4,39,0.8002716039409404
469,9,1000,0.15,0.4,39,0.8527557480678092
470,0,1000,0.15,0.30000000000000004,2,0.001967874090988233
471,1,1000,0.15,0.30000000000000004,2,0.004033840038731303
472,2,1000,0.15,0.30000000000000004,2,-0.00023081117047264892
473,3,1000,0.15,0.30000000000000004,2,-0.0013392348928535655
474,4,1000,0.15,0.30000000000000004,2,-0.0019639383428045358
475,5,1000,0.15,0.30000000000000004,2,-0.00132521548872384
476,6,1000,0.15,0.30000000000000004,2,-0.0013392348928535655
477,7,1000,0.15,0.30000000000000004,2,-0.0019639383428045358
478,8,1000,0.15,0.30000000000000004,2,-0.0019639383428045358
479,9,1000,0.15,0.30000000000000004,2,7.672985006701068e-15
480,0,1000,0.15,0.2,24,0.2859382346525755
481,1,1000,0.15,0.2,24,0.2528978030443353
482,2,1000,0.15,0.2,24,0.2892729727356201
483,3,1000,0.15,0.2,24,0.30128911069446707
484,4,1000,0.15,0.2,24,0.31564822506395324
485,5,1000,0.15,0.2,24,0.22895183523215726
486,6,1000,0.15,0.2,24,0.31931302692605806
487,7,1000,0.15,0.2,24,0.278316605401159
488,8,1000,0.15,0.2,24,0.27877695311549544
489,9,1000,0.15,0.2,24,0.29355905953747347
490,0,1000,0.15,0.1,100,0.0
491,1,1000,0.15,0.1,100,0.0
492,2,1000,0.15,0.1,100,0.0
493,3,1000,0.15,0.1,100,0.0
494,4,1000,0.15,0.1,100,0.0
495,5,1000,0.15,0.1,100,0.0
496,6,1000,0.15,0.1,100,0.0
497,7,1000,0.15,0.1,100,0.0
498,8,1000,0.15,0.1,100,0.0
499,9,1000,0.15,0.1,100,0.0
500,0,1000,0.15,0.30000000000000004,35,0.6920179567610915
501,1,1000,0.15,0.30000000000000004,35,0.662210739732154
502,2,1000,0.15,0.30000000000000004,35,0.6357950639499373
503,3,1000,0.15,0.30000000000000004,35,0.6481467157449027
504,4,1000,0.15,0.30000000000000004,35,0.7675756666679414
505,5,1000,0.15,0.30000000000000004,35,0.6505394612792429
506,6,1000,0.15,0.30000000000000004,35,0.7963695646116639
507,7,1000,0.15,0.30000000000000004,35,0.7723476779469537
508,8,1000,0.15,0.30000000000000004,35,0.6764449737835952
509,9,1000,0.15,0.30000000000000004,35,0.7383578019089261
510,0,1000,0.15,0.30000000000000004,30,0.7689492399364635
511,1,1000,0.15,0.30000000000000004,30,0.7555695269538453
512,2,1000,0.15,0.30000000000000004,30,0.7822004000018721
513,3,1000,0.15,0.30000000000000004,30,0.8118650842581551
514,4,1000,0.15,0.30000000000000004,30,0.8187783536953254
515,5,1000,0.15,0.30000000000000004,30,0.7630698946221357
516,6,1000,0.15,0.30000000000000004,30,0.8188401484488146
517,7,1000,0.15,0.30000000000000004,30,0.8122993677616945
